FID_10,maj10,majper10,maj50,majper50,maj100,majper100,majit,majperit,IT_code_ITs,distance,size_km2,group,defit,def10,def50,def100
0.0000000,100.0000000,98.7609000,100.0000000,75.0090000,100.0000000,72.3503000,100.0000000,99.1459000,4097.0000000,45.0000000,805.9600220,691.0000000,0.8541000,1.2391000,24.9909992,27.6497002
1.0000000,100.0000000,99.7690000,100.0000000,97.3247000,100.0000000,87.6046000,100.0000000,99.7685000,3704.0000000,48.0000000,289.6600037,1.0000000,0.2315000,0.2310000,2.6752999,12.3954000
2.0000000,100.0000000,76.1486000,100.0000000,63.1442000,100.0000000,59.2365000,100.0000000,63.9580000,4102.0000000,4.0000000,51.6100006,685.0000000,36.0419998,23.8514004,36.8558006,40.7635002
3.0000000,100.0000000,97.7427000,100.0000000,95.2099000,100.0000000,94.9042000,100.0000000,93.6894000,3774.0000000,50.0000000,10506.9697266,694.0000000,6.3105998,2.2572999,4.7901001,5.0957999
4.0000000,100.0000000,58.4485000,100.0000000,50.7826000,75.0000000,51.9457000,100.0000000,96.7683000,3646.0000000,0.0000000,4365.0600586,4.0000000,3.2316999,41.5514984,49.2173996,51.9457016
5.0000000,100.0000000,80.2393000,100.0000000,76.1176000,100.0000000,70.5131000,100.0000000,88.0444000,4712.0000000,14.0000000,6071.6899414,674.0000000,11.9555998,19.7607002,23.8824005,29.4869003
6.0000000,100.0000000,76.5678000,100.0000000,79.5252000,100.0000000,74.8212000,100.0000000,78.7921000,3941.0000000,0.0000000,18003.1894531,658.0000000,21.2078991,23.4321995,20.4748001,25.1788006
7.0000000,100.0000000,60.6914000,100.0000000,65.5786000,100.0000000,67.5511000,100.0000000,61.5762000,4122.0000000,0.0000000,2228.3898926,685.0000000,38.4238014,39.3086014,34.4213982,32.4488983
8.0000000,100.0000000,93.0837000,100.0000000,87.8451000,100.0000000,61.1242000,100.0000000,97.4433000,3848.0000000,47.0000000,1055.0100098,693.0000000,2.5567000,6.9162998,12.1548996,38.8758011
9.0000000,100.0000000,81.2433000,100.0000000,76.6799000,100.0000000,70.1417000,100.0000000,77.5691000,3653.0000000,9.0000000,4708.3198242,684.0000000,22.4309006,18.7567005,23.3201008,29.8582993
10.0000000,100.0000000,95.4930000,100.0000000,89.7576000,100.0000000,85.3438000,100.0000000,96.5207000,3730.0000000,14.0000000,256.1000061,10.0000000,3.4793000,4.5070000,10.2424002,14.6562004
